Genus	Subfamily
Acanthomyrmex	Myrmicinae
Acromyrmex	Myrmicinae
Acropyga	Formicinae
Aenictus	Dorylinae
Amblyopone	Amblyoponinae
Anoplolepis	Formicinae
Apterostigma	Myrmicinae
Atta	Myrmicinae
Azteca	Dolichoderinae
Bothriomyrmex	Dolichoderinae
Brachymyrmex	Formicinae
Calyptomyrmex	Myrmicinae
Camponotus	Formicinae
Carebara	Myrmicinae
Cephalotes	Myrmicinae
Cheliomyrmex	Dorylinae
Colobopsis	Formicinae
Crematogaster	Myrmicinae
Cyphomyrmex	Myrmicinae
Daceton	Myrmicinae
Dolichoderus	Dolichoderinae
Dorylus	Dorylinae
Dorymyrmex	Dolichoderinae
Echinopla	Formicinae
Eciton	Dorylinae
Ectatomma	Ectatomminae
Formica	Formicinae
Gnamptogenys	Ectatomminae
Iridomyrmex	Dolichoderinae
Labidus	Dorylinae
Lasius	Formicinae
Leptogenys	Ponerinae
Leptomyrmex	Dolichoderinae
Linepthema	Dolichoderinae
Liometopum	Dolichoderinae
Lophomyrmex	Myrmicinae
Megalomyrmex	Myrmicinae
Metapone	Myrmicinae
Monomorium	Myrmicinae
Mycetarotes	Myrmicinae
Mycetomoellerius	Myrmicinae
Mycocepurus	Myrmicinae
Myopias	Ponerinae
Myrmecocrypta	Myrmicinae
Myrmecorhynchus	Formicinae
Myrmelachista	Formicinae
Myrmica	Myrmicinae
Myrmicocrypta	Myrmicinae
Neivamyrmex	Dorylinae
Nomamyrmex	Dorylinae
Notonchus	Formicinae
Ochetellus	Dolichoderinae
Ocymyrmex	Myrmicinae
Odontomachus	Ponerinae
Oecophylla	Formicinae
Paraponera	Paraponerinae
Paratrechina	Formicinae
Pheidole	Myrmicinae
Polyergus	Formicinae
Polyrachis	Formicinae
Polyrhachis	Formicinae
Prionopelta	Amblyoponinae
Procryptocerus	Myrmicinae
Pseudolasius	Formicinae
Pseudomyrmex	Pseudomyrmecinae
Pseudoponera	Ponerinae
Rhytidoponera	Ectatomminae
Sericomyrmex	Myrmicinae
Solenopsis	Myrmicinae
Stenamma	Myrmicinae
Strumigenys	Myrmicinae
Syscia	Dorylinae
Tapinoma	Dolichoderinae
Technomyrmex	Dolichoderinae
Temnothorax	Myrmicinae
Tetraponera	Pseudomyrmecinae
Trachymyrmex	Myrmicinae
Wasmannia	Myrmicinae
Gigantiops	Formicinae
Anochetus	Ponerinae
Neoponera	Ponerinae
Nylanderia	Formicinae
